COD CURSO,NOME UNIDADE,COD ESTRUTURADO,COD DISCIPLINA,ID ATIV CURRIC,NOME DISCIPLINA,PERIODO IDEAL,CREDITOS,CH TOTAL,TIPO DISCIPLINA,NUM VERSAO,SIT VERSAO,TOTAL CH,SEMESTRE IDEAL,NUM MIN PERIODOS,NUM MAX PERIODOS,CH TOTAL CURSO,SIT ATIV,EMENTA,DESCR ESTRUTURA,TIPO AULA,NUM HORAS,CONTA CH,SITUACAO VERSAO,ID CURSO,ID VERSAO CURSO,ID ESTRUTURA CUR,DESCR SITUACAO
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0259,22662.0,TIN0259 - Fluxos em Redes,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0260,22663.0,TIN0260 - Heurísticas Inteligentes: Técnicas e Aplicações,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0261,22664.0,TIN0261 - Introdução à Inteligência Artificial,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0262,22665.0,TIN0262 - Introdução Algorítmica a Grafos,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0263,22666.0,TIN0263 - Modelagem e Ontologias,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0264,22667.0,TIN0264 - Processamento Baseado em Restrições,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0265,22668.0,TIN0265 - Técnicas de Programação Avançada,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0266,22669.0,TIN0266 - Tópicos em Algoritmos,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0267,22670.0,TIN0267 - Tópicos em Aplicações de Lógica e Raciocínio Automatizado,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0268,22671.0,TIN0268 - Tópicos em Aprendizagem de Máquina,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0269,22672.0,TIN0269 - Tópicos em Engenharia de Ontologias,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0270,22673.0,TIN0270 - Tópicos em Processamento de Linguagem Natural,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0271,22674.0,TIN0271 - Desenvolvimento de Servidor Web,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0272,22675.0,TIN0272 - Engenharia de Sistemas Complexos,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0273,22676.0,TIN0273 - Interfaces Móveis,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0274,22677.0,TIN0274 - Projeto de Jogos Digitais,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0275,22678.0,TIN0275 - Tópicos em Arquitetura de Software,6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0276,22679.0,"TIN0276 - Tópicos em Aspectos Humanos, Econômicos e Sociais de Software",6,4.0,60,Optativa,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
